"customer_id","email","first_name","last_name","rental_count"
368,"harry.arce@sakilacustomer.org","Harry","Arce","35"
91,"lois.butler@sakilacustomer.org","Lois","Butler","35"
381,"bobby.boudreau@sakilacustomer.org","Bobby","Boudreau","35"
274,"naomi.jennings@sakilacustomer.org","Naomi","Jennings","35"
373,"louis.leone@sakilacustomer.org","Louis","Leone","35"
204,"rosemary.schmidt@sakilacustomer.org","Rosemary","Schmidt","35"
50,"diane.collins@sakilacustomer.org","Diane","Collins","35"
196,"alma.austin@sakilacustomer.org","Alma","Austin","35"
371,"billy.poulin@sakilacustomer.org","Billy","Poulin","35"
506,"leslie.seward@sakilacustomer.org","Leslie","Seward","35"
21,"michelle.clark@sakilacustomer.org","Michelle","Clark","35"
273,"priscilla.lowe@sakilacustomer.org","Priscilla","Lowe","35"
403,"mike.way@sakilacustomer.org","Mike","Way","35"
46,"catherine.campbell@sakilacustomer.org","Catherine","Campbell","34"
66,"janice.ward@sakilacustomer.org","Janice","Ward","34"
129,"carrie.porter@sakilacustomer.org","Carrie","Porter","34"
372,"steve.mackenzie@sakilacustomer.org","Steve","Mackenzie","34"
38,"martha.gonzalez@sakilacustomer.org","Martha","Gonzalez","34"
576,"morris.mccarter@sakilacustomer.org","Morris","Mccarter","34"
239,"minnie.romero@sakilacustomer.org","Minnie","Romero","34"
473,"jorge.olivares@sakilacustomer.org","Jorge","Olivares","34"
241,"heidi.larson@sakilacustomer.org","Heidi","Larson","34"
360,"ralph.madrigal@sakilacustomer.org","Ralph","Madrigal","34"
566,"casey.mena@sakilacustomer.org","Casey","Mena","34"
168,"regina.berry@sakilacustomer.org","Regina","Berry","34"
138,"hazel.warren@sakilacustomer.org","Hazel","Warren","34"
502,"brett.cornwell@sakilacustomer.org","Brett","Cornwell","34"
30,"melissa.king@sakilacustomer.org","Melissa","King","34"
207,"gertrude.castillo@sakilacustomer.org","Gertrude","Castillo","34"
26,"jessica.hall@sakilacustomer.org","Jessica","Hall","34"
181,"ana.bradley@sakilacustomer.org","Ana","Bradley","34"
147,"joanne.robertson@sakilacustomer.org","Joanne","Robertson","34"
119,"sherry.marshall@sakilacustomer.org","Sherry","Marshall","34"
211,"stacey.montgomery@sakilacustomer.org","Stacey","Montgomery","34"
64,"judith.cox@sakilacustomer.org","Judith","Cox","33"
51,"alice.stewart@sakilacustomer.org","Alice","Stewart","33"
390,"shawn.heaton@sakilacustomer.org","Shawn","Heaton","33"
86,"jacqueline.long@sakilacustomer.org","Jacqueline","Long","33"
438,"barry.lovelace@sakilacustomer.org","Barry","Lovelace","33"
84,"sara.perry@sakilacustomer.org","Sara","Perry","33"
522,"arnold.havens@sakilacustomer.org","Arnold","Havens","33"
172,"bernice.willis@sakilacustomer.org","Bernice","Willis","33"
314,"george.linton@sakilacustomer.org","George","Linton","33"
462,"warren.sherrod@sakilacustomer.org","Warren","Sherrod","33"
454,"alex.gresham@sakilacustomer.org","Alex","Gresham","33"
297,"sherri.rhodes@sakilacustomer.org","Sherri","Rhodes","33"
230,"joy.george@sakilacustomer.org","Joy","George","33"
7,"maria.miller@sakilacustomer.org","Maria","Miller","33"
